CURIE,Label,Type,Definition,Parent,Disjoint classes,Inverse property,Domain,Range,isPerformedAt,isPerformedOn,hasLocation,isResultOf,hasResult,hasSample,isSampleOf,ProcessInvolved,conductsExperimentsIn,hasSampleType,hasSampleID,isCollectedFrom,isMeasuredIn,isControlledByDevice,isMeasuredByDevice,makesMeasurement,hasMeasurement,isMeasurementOf,relatesToMeasurement,relatesToProperty,measuresProperty,detectProperty,isPropertyOf,hasProperty,hasSensorType,base_name,base_value,has_value,has_version,name,update_time
https://purl.archive.org/purl/fsmon/Ontology#FreshDetectBFD-100,FreshDetectBFD-100,class,"BFD-100 is a handheld sensor of FreshDetect company. It is capable of determining bacterial contamination in pork in real time using a non-invasive, fluorescence spectroscopy measurement technique. This handheld device can be used to determine the total viable count in fresh meat in 3–5 seconds with laboratory quality reliability and accuracy.",Device,,,,,,,,,,,,ImagingSpectroscopy,,,,,,,,,,,,,Wavelength,,,,FreshDetect,rdfs:Literal,,,rdfs:Literal,rdfs:Literal,
https://purl.archive.org/purl/fsmon/Ontology#JASCOLC-NET,JASCOLC-NET,class,JASCO LC-NET is a high-performance liquid chromatography (HPLC) system developed by JASCO Corporation,Device,,,,,,,,,,,,Chromatography,,,,,,,,,,,,,Unknown| Succinic| Isobutyric| Glucose| Propionic| Citric| Butyric| Pyruvic| Lactic,,,,HPLC,rdfs:Literal,,,rdfs:Literal,rdfs:Literal,
https://purl.archive.org/purl/fsmon/Ontology#NIRvascan,NIRvascan,class,The NIRvascan is the world's first affordable and portable smart near infrared spectrometer with an integrated tungsten halogen light source built in.,Device,,,,,,,,,,,,ImagingSpectroscopy,,,,,,,,,,,,,Wavelength,,,,NIR,rdfs:Literal,,,rdfs:Literal,rdfs:Literal,
https://purl.archive.org/purl/fsmon/Ontology#Videometer,VideometerLab,class,"A spectral imaging instrument designed for the fast and accurate determination of colour, texture, and chemical composition",Device,,,,,,,,,,,,ImagingSpectroscopy,,,,,,,,,,,,,Mean| StandardDeviation,,,,MSI,rdfs:Literal,,,rdfs:Literal,rdfs:Literal,
https://purl.archive.org/purl/fsmon/Ontology#LY2/G,LY2/G,class,"LY2-G is LY type e-nose sensor which has types of substances including Ammonia, amine compounds,  carbon and oxygen gompounds",e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,Ammonia| carbon monoxide,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#LY2/GH,LY2/GH,class,"LY2-GH is LY type e-nose sensor which has types of substances including Chlorine, fluorine, nitrous compounds, sulfides",e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,Ammonia,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#PA/2,PA/2,class,"PA-2 is P type e-nose sensor which has types of substances including Ethanol, ammonia, amine compounds",e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,Ammonia,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#LY2/LG,LY2/LG,class,"LY2-LG is LY type e-nose sensor which has types of substances including Chlorine, fluorine, nitrous compounds, sulfides",e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,oxidising agent,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#T30/1,T30/1,class,"T30/1 is T type e-nose sensor which has types of substances including Hydrocarbons, ammonia, ethanol",e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,hydrogen chloride,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#LY2/gCTL,LY2/gCTL,class,LY2-gCTL is LY type e-nose sensor which has types of substances including hydrogen sulfide,e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrogen_Sulphide,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#P10/2,P10/2,class,"P10-2 is P type e-nose sensor which has types of substances including Nonpolar, Methane, ethane",e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,Methane,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#LY2/AA,LY2/AA,class,"LY2-AA is LY type e-nose sensor which has types of substances including Ethanol, acetone, ammonia",e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,Ethanol,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#P10/1,P10/1,class,"P10-1 is P type e-nose sensor which has types of substances including Nonpolar, hydrocarbon, ammonia, chlorine",e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,hydrocarbon,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#P40/1,P40/1,class,"P40-1 is P type e-nose sensor which has types of substances including Chlorine, fluorine",e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,fluorine,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#T70/2,T70/2,class,"T70-2 is T type e-nose sensor which has types of substances including Toluene, xylene, carbon monoxide",e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,aromatic compound,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#LY2/gCT,LY2/gCT,class,"LY2-gCT is LY type e-nose sensor which has types of substances including Propane, Butane",e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,propane| butane,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#LY2/LG,LY2/LG,class,,e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#P10/2,P10/2,class,,e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#P30/1,P30/1,class,,e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#P40/2,P40/2,class,,e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#P30/2,P30/2,class,,e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#T40/2,T40/2,class,,e-nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_30769,Citric,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_17234,Glucose,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
